input_path,labels
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/1_57.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_127.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/2_29.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_24.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_125.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_275.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/10_6.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/3_0.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/6_219.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/9_6.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/t-05AtopicHand2.jpg,1
/content/drive/MyDrive/Colab Notebooks/IMG_CLASSES/1. Atopic Dermatitis - 1.25k/133_6_25.jpg,1
